Date,JP,UK,US,Euro,Pac
2/26/1982, 0.1933 , 0.0873 , 0.5576 , 0.1113 , 0.0505 
3/31/1982, 0.1843 , 0.0861 , 0.5645 , 0.1171 , 0.0480 
4/30/1982, 0.1706 , 0.0892 , 0.5706 , 0.1184 , 0.0512 
5/31/1982, 0.1724 , 0.0867 , 0.5701 , 0.1169 , 0.0540 
6/30/1982, 0.1705 , 0.0916 , 0.5651 , 0.1164 , 0.0565 
7/30/1982, 0.1689 , 0.0897 , 0.5787 , 0.1100 , 0.0527 
8/31/1982, 0.1650 , 0.0943 , 0.5756 , 0.1133 , 0.0518 
9/30/1982, 0.1568 , 0.0888 , 0.6013 , 0.1051 , 0.0480 
10/29/1982, 0.1506 , 0.0924 , 0.6047 , 0.1048 , 0.0474 
11/30/1982, 0.1407 , 0.0873 , 0.6298 , 0.0980 , 0.0441 
12/31/1982, 0.1593 , 0.0807 , 0.6188 , 0.0985 , 0.0427 
1/31/1983, 0.1718 , 0.0783 , 0.6025 , 0.1025 , 0.0448 
2/28/1983, 0.1606 , 0.0752 , 0.6161 , 0.0999 , 0.0481 
3/31/1983, 0.1594 , 0.0740 , 0.6152 , 0.1056 , 0.0458 
4/29/1983, 0.1604 , 0.0718 , 0.6151 , 0.1091 , 0.0436 
5/31/1983, 0.1528 , 0.0763 , 0.6203 , 0.1057 , 0.0449 
6/30/1983, 0.1540 , 0.0811 , 0.6168 , 0.1030 , 0.0451 
7/29/1983, 0.1551 , 0.0785 , 0.6198 , 0.1027 , 0.0439 
8/31/1983, 0.1601 , 0.0769 , 0.6123 , 0.1046 , 0.0462 
9/30/1983, 0.1574 , 0.0754 , 0.6205 , 0.1007 , 0.0460 
10/31/1983, 0.1668 , 0.0737 , 0.6135 , 0.1019 , 0.0441 
11/30/1983, 0.1680 , 0.0737 , 0.6105 , 0.1041 , 0.0437 
12/30/1983, 0.1659 , 0.0748 , 0.6101 , 0.1039 , 0.0454 
1/31/1984, 0.1783 , 0.0745 , 0.5956 , 0.1045 , 0.0470 
2/29/1984, 0.1843 , 0.0767 , 0.5833 , 0.1078 , 0.0479 
3/30/1984, 0.1906 , 0.0806 , 0.5671 , 0.1116 , 0.0501 
4/30/1984, 0.2163 , 0.0797 , 0.5499 , 0.1070 , 0.0471 
5/31/1984, 0.2116 , 0.0790 , 0.5553 , 0.1068 , 0.0472 
6/29/1984, 0.2003 , 0.0764 , 0.5675 , 0.1094 , 0.0464 
7/31/1984, 0.2012 , 0.0761 , 0.5718 , 0.1069 , 0.0440 
8/31/1984, 0.1943 , 0.0739 , 0.5864 , 0.1033 , 0.0420 
