Index,JP,UK,US,Euro,Pac,,,,,,
1986-02-28,0.0483135707,0.0095442146,0.0338096,0.038742,-0.0001054829,,4.757344741,0.939970196,3.3295040889,3.8145864737,0
1986-03-31,0.05990274,0.01016769,0.03413046,0.01699922,-0.0022534,,5.8794871701,0.9973500662,3.3494410352,1.6681647846,0
1986-04-30,0.0104234777,0.0058183082,-0.0080585741,0.0295214579,-0.0014315168,,1.0206358727,0.5694018208,-0.7890117699,2.8901237158,0
1986-05-30,0.00667314,-0.00633137,0.02759152,-0.02054196,-5.15e-05,,0.6538050863,-0.6205832519,2.7032377392,-2.0128618929,0
1986-06-30,0.0326912,0.0076447,0.01505796,0.00795036,0.0001407,,3.2024518415,0.7490552495,1.4746933799,0.7785570211,0
1986-07-31,0.0423469268,-0.0072565463,-0.021373561,0.0020760976,0.0025313268,,4.1425147394,-0.7098349473,-2.0910753748,0.2031471383,0
1986-08-29,0.0318915415,0.0030654049,0.0254673366,0.0289029854,-0.0028109268,,3.1146224092,0.2994789629,2.4871596584,2.8228760706,0
1986-09-30,-0.00192618,-0.0061614,-0.03388168,-0.00680256,-0.00213256,,-0.1880448625,-0.6014299332,-3.3071622355,-0.6640781709,0
1986-10-31,-0.029690189,0.0011776378,0.0229592859,0.0025464946,-0.0012419142,,-2.9065191597,0.1153744218,2.2481273032,0.2493590069,0
1986-11-28,0.0244961645,0.0012640345,0.010418634,0.0100882268,-0.0004490616,,2.4057903444,0.1239596317,1.0232150878,0.9907862849,0
1986-12-31,0.0122262,0.00409904,-0.00736848,0.00354016,-0.00130732,,1.1992183985,0.4019388301,-0.7225756539,0.347269785,0
1987-01-30,0.0347526202,0.0040398523,0.050703415,0.0024275356,-0.0006959286,,3.4126080983,0.3964502796,4.9784820059,0.2383278633,0
1987-02-27,0.0058110857,0.0075013333,0.0074499238,0.0031856,0.0021784286,,0.5811577776,0.7501050913,0.7449630171,0.3184940583,0.21801734
1987-03-31,0.0190918908,0.0013323468,0.0127341266,0.0094420358,0.0041921408,,1.9091699824,0.1330802663,1.2736740805,0.9442587467,0.4187243155
1987-04-30,0.042978,0.0057883048,-0.002397981,0.0050206,-0.0002569048,,4.2980436584,0.5787381747,-0.2398196232,0.5019886101,-0.0256808561
1987-05-29,0.02035572,0.00390467,0.00018294,-0.0032409,0.00105794,,2.03561456,0.3906866866,0.0182914129,-0.3240217631,0.1058460954
1987-06-30,-0.0001681364,0.0059354538,0.0159880773,0.0088190077,0.0013939053,,-0.0168139648,0.5933913824,1.5991340142,0.8818792757,0.1392078565
1987-07-31,0.00260631,0.0018436,0.0156735,0.01004157,0.0041071,,0.2606572549,0.184464152,1.5674055848,1.003958486,0.4102056374
1987-08-31,0.0358199,-0.00101242,0.01109214,0.00697596,0.00145386,,3.5819558068,-0.1011594734,1.1092958662,0.6975665316,0.1454792765
1987-09-30,0.0290901895,0.0022203789,-0.0044866105,-0.0029620632,0.0024492421,,2.9086893195,0.222195551,-0.4486507758,-0.2963117126,0.2447857577
1987-10-30,-0.0496528356,-0.0107852323,-0.0722033227,-0.019593375,-0.0152442519,,-4.9656780505,-1.077814329,-7.2209969473,-1.9594207323,-1.5228269507
1987-11-30,0.0300928421,-0.0015386737,-0.0224797263,-0.0047712105,0.0032478947,,3.0093153694,-0.1536921664,-2.2480681169,-0.4771658209,0.3249652623
1987-12-31,0.0295106511,0.0186377338,0.0212161716,0.0038659366,0.0006561056,,2.9508497574,1.8644777449,2.1215959555,0.3865643473,0.0656420917
1988-01-29,0.0043106526,-0.0016742367,0.0022733782,-0.0033591259,0.000790957,,0.431091401,-0.1673893938,0.2273457561,-0.3358705192,0.07908067
1988-02-29,0.0368908683,0.0009294049,0.014191961,0.0072373171,0.0003509073,,3.6894328706,0.0929231877,1.4193403185,0.7235199258,0.0350561889
1988-03-31,0.0537244609,0.0043112108,-0.0050860767,0.0035606986,0.0026841448,,5.3722840772,0.4312263955,-0.5086051762,0.3561819999,0.2680041807
1988-04-29,0.0232204117,0.0030792077,0.0016755976,0.0017499463,0.0012741243,,2.3216919644,0.308032578,0.1675420637,0.1750507999,0.1275882748
1988-05-31,-0.0164782439,-0.0012292683,-0.0011623415,-0.0031613463,0.0021487024,,-1.6479336594,-0.1229069466,-0.116227639,-0.3160306441,0.2151055551
1988-06-30,0.0086139136,-0.0023967216,0.0102390477,0.0015753147,-0.0005072495,,0.8612303292,-0.2397786795,1.0239828944,0.1575710029,-0.0507408327
1988-07-29,0.0530866559,0.0013203257,-0.0012824078,-0.0008675779,0.0015256596,,5.3082418538,0.1320819778,-0.1282393987,-0.0867762954,0.1525052778
1988-08-31,-0.0441960195,-0.0066159512,-0.0085820488,-0.0031946927,-0.0006869854,,-4.4194153396,-0.6617795987,-0.8583614002,-0.3193704307,-0.0686646326
