203,-0.075,0.05,0.05,0.05,-0.05
204,-0.075,0.05,0.05,0.05,-0.075
205,-0.075,0.05,0.05,0.05,-0.075
206,-0.075,0.05,0.05,0.05,-0.05
207,-0.075,0.05,0.05,0.05,-0.05
208,-0.075,0.05,0.05,0.05,-0.05
209,-0.075,0.05,0.05,0,-0.05
210,-0.075,0.05,0.05,0,-0.05
211,-0.075,0.05,0.05,0,-0.05
212,-0.075,0.05,0.05,0,-0.05
213,-0.075,0.05,0.075,0.05,-0.05
214,-0.075,0.05,0.05,0.05,-0.075
215,-0.075,0,0.075,0.05,-0.075
216,-0.075,0.05,0.075,0.05,-0.075
217,-0.075,0.05,0.075,0.05,-0.05
218,-0.075,0.05,0.075,0,-0.075
219,-0.05,0.05,0.075,0.05,-0.075
220,-0.05,0.05,0.075,0,-0.075
221,-0.05,0.05,0.075,0,-0.075
222,-0.05,0.05,0.075,0,-0.075
223,-0.05,0.05,0.075,0,-0.075
224,-0.05,0.05,0.075,0,-0.075
225,-0.05,0,0.075,0,-0.075
226,-0.05,0,0.075,0,-0.075
227,-0.05,0,0.075,0,-0.075
228,-0.05,0,0.075,0,-0.075
229,-0.075,0.05,0.075,0.05,-0.075
230,-0.075,0.05,0.05,0.05,-0.075
231,-0.075,0.05,0.05,0.05,-0.075
232,-0.075,0.05,0.075,0,-0.075
233,-0.05,0.05,0.075,0,-0.075
234,-0.05,0.05,0.075,0,-0.075
235,-0.05,0.05,0.075,0,-0.075
236,-0.05,0.05,0.075,0,-0.075
237,-0.05,0.05,0.075,0,-0.075
238,-0.05,0.05,0.075,0,-0.075
239,-0.05,0.05,0.075,0,-0.075
240,-0.05,0.05,0.075,0,-0.075
241,-0.05,0,0.075,0,-0.075
242,-0.05,0.05,0.075,0,-0.075
243,-0.05,0.05,0.075,0,-0.075
244,-0.05,0,0.075,0,-0.075
245,-0.05,0.05,0.075,0,-0.075
246,-0.05,0.05,0.075,0,-0.075
247,-0.05,0.05,0.075,0,-0.075
248,-0.05,0.05,0.075,0,-0.075
249,-0.05,0,0.075,0,-0.075
250,0,0,0.075,0,-0.075
251,-0.075,0,0.075,0,-0.05
252,-0.05,0,0.075,0,-0.075
253,0,0,0.075,0,-0.075
254,-0.05,-0.05,0.1,0,0
255,0,-0.05,0.1,0,-0.05
256,0,-0.05,0.1,-0.075,0
257,0,-0.05,0.1,-0.05,0
258,0,0,0.075,-0.075,0.05
259,0,-0.05,0,-0.075,0.1
260,0,-0.05,0,-0.075,0.1
261,0,-0.075,0,-0.05,0.1
262,0.05,-0.05,0,-0.05,0.075
263,0.05,-0.05,0,-0.05,0.075
264,0.075,-0.05,-0.05,-0.05,0.05
265,0.075,-0.05,-0.05,-0.05,0.075
266,0.075,-0.05,-0.05,-0.05,0.075
267,0.05,0,-0.05,-0.05,0.075
268,0.075,-0.05,-0.05,-0.05,0.05
269,0.1,-0.05,-0.05,0,0
270,0.1,-0.05,-0.075,0,0
271,0.075,0,-0.075,0.05,-0.05
272,0,0,-0.075,0.075,0.05
273,-0.05,0,-0.05,0.05,0.075
274,-0.1,0,0,0,0.075
275,-0.1,0,0,0.05,0.05
276,-0.075,0,0,0.05,0.075
277,-0.075,0,-0.05,0.05,0.075
278,-0.075,0,-0.05,0.05,0.075
279,-0.075,0,-0.05,0,0.075
280,-0.075,0,-0.05,0,0.075
281,-0.05,0,-0.075,0.05,0.075
282,-0.075,0,-0.05,0,0.075
283,-0.075,0,0,0,0.075
284,-0.075,0,-0.05,0.05,0.075
285,-0.075,0,-0.05,0.05,0.075
286,-0.075,0,-0.05,0.05,0.075
287,-0.05,0,-0.05,0.05,0.075
288,-0.075,0,-0.05,0.05,0.075
289,0,-0.05,-0.05,0.05,0.075
290,-0.05,0,-0.075,0,0.1
291,0,0,-0.075,0.05,0.075
292,-0.05,0,-0.075,0.05,0.075
293,-0.05,0,-0.05,0.05,0.075
294,-0.05,0,-0.075,0.05,0.075
